codigo_aeroporto_origem,descricao_aeroporto,total_voos,voos_com_atraso_calculavel,voos_atraso_30,taxa_atraso_30_pct,voos_cancelados,taxa_cancelamento_pct
KMIA,"MIAMI INTERNATIONAL AIRPORT - MIAMI, FLORIDA - ESTADOS UNIDOS DA AMÉRICA",3853,2806,805,28.69,359,9.32
SLVR,VIRU VIRU INTERNATIONAL AIRPORT - SANTA CRUZ - BOLÍVIA,649,541,149,27.54,77,11.86
LEMD,ADOLFO SUÁREZ MADRID-BARAJAS AIRPORT - MADRID - ESPANHA,2946,1725,444,25.74,1146,38.9
LPPT,LISBOA - LISBOA - PORTUGAL,3484,3403,718,21.1,44,1.26
LFPG,PARIS-CHARLES DE GAULLE AIRPORT (ROISSY AIRPORT) - PARIS - FRANÇA,1081,1060,209,19.72,6,0.56
EHAM,"AMSTERDAM AIRPORT SCHIPHOL - HAARLEMMERMEER, NEAR AMSTERDAM - HOLANDA",746,578,113,19.55,141,18.9
LIRF,LEONARDO DA VINCI INTERNATIONAL AIRPORT (FIUMICINO INTERNATIONAL AIRPORT) - ROME - ITÁLIA,978,779,145,18.61,158,16.16
KJFK,"JOHN F. KENNEDY INTERNATIONAL AIRPORT - NEW YORK, NEW YORK - ESTADOS UNIDOS DA AMÉRICA",818,780,138,17.69,27,3.3
SAEZ,"MINISTRO PISTARINI INTERNATIONAL AIRPORT (EZEIZA INTERNATIONAL AIRPORT) - EZEIZA, BUENOS AIRES PROVINCE - ARGENTINA",5365,3577,565,15.8,1638,30.53
SABE,JORGE NEWBERY AIRPORT - BUENOS AIRES - ARGENTINA,6494,6107,838,13.72,134,2.06
