codigo_aeroporto_origem,descricao_aeroporto,total_voos,voos_com_atraso_calculavel,voos_atraso_30,taxa_atraso_30_pct,voos_cancelados,taxa_cancelamento_pct
MDPC,PUNTA CANA - PUNTA CANA - REPÚBLICA DOMINICANA,1074,340,121,35.59,717,66.76
DNMM,"MURTALA MOHAMMED INTERNATIONAL AIRPORT - IKEJA,  LAGOS STATE - NIGÉRIA",700,248,74,29.84,394,56.29
OTHH,HAMAD INTERNATIONAL AIRPORT - DOHA - QATAR,765,395,90,22.78,330,43.14
LEMD,ADOLFO SUÁREZ MADRID-BARAJAS AIRPORT - MADRID - ESPANHA,2946,1725,444,25.74,1146,38.9
SAEZ,"MINISTRO PISTARINI INTERNATIONAL AIRPORT (EZEIZA INTERNATIONAL AIRPORT) - EZEIZA, BUENOS AIRES PROVINCE - ARGENTINA",5365,3577,565,15.8,1638,30.53
SEQM,MARISCAL SUCRE INTERNATIONAL AIRPORT - QUITO - EQUADOR,573,233,75,32.19,119,20.77
EHAM,"AMSTERDAM AIRPORT SCHIPHOL - HAARLEMMERMEER, NEAR AMSTERDAM - HOLANDA",746,578,113,19.55,141,18.9
GVAC,AEROPORTO INTERNACIONAL AMÍLCAR CABRAL - ILHA DO SAL - CABO VERDE,567,133,84,63.16,107,18.87
LIRF,LEONARDO DA VINCI INTERNATIONAL AIRPORT (FIUMICINO INTERNATIONAL AIRPORT) - ROME - ITÁLIA,978,779,145,18.61,158,16.16
SACO,"INGENIERO AMBROSIO L.V. TARAVELLA INTERNATIONAL AIRPORT - CÓRDOBA, CÓRDOBA PROVINCE - ARGENTINA",976,809,91,11.25,155,15.88
