sigla_icao_empresa_aerea,total_voos,voos_com_atraso_calculavel,voos_atraso_30,voos_cancelados,taxa_atraso_30_pct,taxa_cancelamento_pct,empresa_aerea
ABJ,803,694,11,90,1.59,11.21,ATA - AEROTÁXI ABAETÉ LTDA.
CMP,5898,5623,243,258,4.32,4.37,COMPAÑIA PANAMEÑA DE AVIACION S.A. (COPA AIRLINES)
GLO,151379,148091,9229,1746,6.23,1.15,GOL LINHAS AÉREAS S.A. (EX- VRG LINHAS AÉREAS S.A.)
SWR,556,529,33,16,6.24,2.88,SWISS INTERNATIONAL AIR LINES LTD.
BAW,1277,1253,80,19,6.38,1.49,BRITISH AIRWAYS PLC
AZU,163332,156926,12895,2786,8.22,1.71,AZUL LINHAS AÉREAS BRASILEIRAS S/A
TAM,175619,170828,14571,2360,8.53,1.34,TAM LINHAS AÉREAS S.A.
LPE,2878,2813,247,21,8.78,0.73,LATAM AIRLINES PERU (EX-LAN PERU S.A.)
LAN,8342,7761,720,58,9.28,0.7,LATAM AIRLINES GROUP (EX - LAN AIRLINES S/A)
JAT,2702,2378,221,60,9.29,2.22,JETSMART AIRLINES SPA - CHILE
