sigla_icao_empresa_aerea,total_voos,voos_com_atraso_calculavel,voos_atraso_30,voos_cancelados,taxa_atraso_30_pct,taxa_cancelamento_pct,empresa_aerea
LAP,751,739,113,4,15.29,0.53,TRANSPORTE AÉREOS DEL MERCOSUR S.A. (TAM MERCOSUR)
AFR,1849,1813,300,12,16.55,0.65,SOCIÉTÉ AIR FRANCE
AVA,3215,3170,382,22,12.05,0.68,AEROVIAS DEL CONTINENTE AMERICANO S.A. AVIANCA
LAN,8342,7761,720,58,9.28,0.7,LATAM AIRLINES GROUP (EX - LAN AIRLINES S/A)
LPE,2878,2813,247,21,8.78,0.73,LATAM AIRLINES PERU (EX-LAN PERU S.A.)
GLO,151379,148091,9229,1746,6.23,1.15,GOL LINHAS AÉREAS S.A. (EX- VRG LINHAS AÉREAS S.A.)
TAP,6002,5846,974,76,16.66,1.27,TAP - TRANSPORTES AÉREOS PORTUGUESES S/A
THY,1888,1837,274,25,14.92,1.32,TURKISH AIRLINES INC
TAM,175619,170828,14571,2360,8.53,1.34,TAM LINHAS AÉREAS S.A.
ARE,872,836,104,12,12.44,1.38,AIRES - AEROVÍAS DE INTEGRACÍON REGIONAL S.A.
