rota_id,codigo_aeroporto_origem,codigo_aeroporto_destino,total_voos,voos_com_atraso_calculavel,voos_atraso_30,voos_cancelados,taxa_atraso_30_pct,taxa_cancelamento_pct
SBGR->HAAB,SBGR,HAAB,215,211,131,1,62.09,0.47
CYYZ->SBGR,CYYZ,SBGR,245,241,96,2,39.83,0.82
MDPC->SBGR,MDPC,SBGR,370,340,121,17,35.59,4.59
KORD->SBGR,KORD,SBGR,214,212,72,2,33.96,0.93
KMIA->SBGL,KMIA,SBGL,365,339,115,4,33.92,1.1
LFPG->SBGL,LFPG,SBGL,258,250,80,1,32,0.39
SBGR->SAEZ,SBGR,SAEZ,924,858,271,20,31.59,2.16
KMIA->SBKP,KMIA,SBKP,668,504,156,41,30.95,6.14
KEWR->SBGR,KEWR,SBGR,214,208,64,3,30.77,1.4
LPPT->SBSV,LPPT,SBSV,203,201,61,1,30.35,0.49
